id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Empty Hallways,Velvet Dusk,classical,melancholic,0.22,58,0.21,0.18,0.97
12,Block by Block,Street Axiom,hip-hop,energetic,0.85,96,0.72,0.91,0.08
13,Golden Harvest,Dusty Pines,country,nostalgic,0.54,104,0.78,0.67,0.74
14,Underneath the Stars,Luna Solis,r&b,romantic,0.61,88,0.83,0.71,0.55
15,Fractured Steel,Iron Veil,metal,angry,0.97,178,0.19,0.55,0.03
16,Porch Song,Clara Wren,folk,sad,0.30,66,0.28,0.40,0.93
17,Current State,Bassform,electronic,energetic,0.88,140,0.65,0.94,0.04
18,Rain on Glass,Hollow Tide,blues,melancholic,0.45,74,0.33,0.48,0.81
